Cod_setor;Situacao_setor;V001;V002;V003
350210105000008;1;32;0;0
350210105000009;1;60;0;0
350210105000010;1;49;0;0
350210105000011;1;94;0;0
350210105000012;1;57;0;0
350210105000013;1;103;0;0
350210105000014;1;39;0;0
350210105000015;1;90;1;0
350210105000016;1;94;0;0
350210105000017;1;100;1;0
350210105000018;1;121;0;0
350210105000019;1;93;0;0
350210105000020;1;89;0;0
350210105000021;1;63;0;0
350210105000022;1;67;0;0
350210105000023;1;81;0;0
350210105000024;1;95;0;0
350210105000025;1;116;0;0
350210105000026;1;72;0;0
350210105000027;1;91;0;0
350210105000028;1;113;0;0
350210105000029;1;58;0;0
350210105000030;1;62;0;0
350210105000031;1;119;0;0
350210105000032;1;91;0;0
350210105000033;1;104;0;0
350210105000034;1;211;1;0
350210105000035;1;176;0;0
350210105000036;1;79;0;0
350210105000037;1;117;0;0
350210105000038;1;145;0;0
350210105000039;1;122;0;0
350210105000040;1;87;0;0
350210105000041;1;36;0;0
350210105000042;1;55;0;0
350210105000043;1;142;0;0
350210105000044;1;114;1;0
350210105000045;1;58;0;0
350210105000046;1;86;0;0
350210105000047;1;63;0;0
350210105000048;1;103;0;0
350210105000049;1;145;0;0
350210105000050;1;164;0;0
350210105000051;1;58;0;0
350210105000052;1;84;0;0
350210105000053;1;117;0;0
350210105000054;1;167;0;0
350210105000055;1;162;0;0
350210105000056;2;165;0;0
350210105000057;1;122;0;0
350210105000058;1;157;0;0
350210105000059;1;170;0;0
350210105000060;1;123;0;0
350210105000061;1;96;0;0
350210105000062;1;136;0;0
350210105000063;1;134;0;0
350210105000064;1;134;0;0
350210105000065;1;129;0;4
350210105000066;2;4;0;0
350210105000067;1;101;0;0
350210105000068;1;127;0;0
350210105000069;2;110;0;0
350210105000070;2;0;0;0
350210105000071;2;1;0;0
350210105000072;5;30;0;0
350210105000073;8;59;0;0
350210105000074;8;47;0;0
350210105000075;8;51;0;0
350210105000076;8;1;0;0
350210105000077;8;20;0;0
350210105000078;8;25;0;0
350210105000079;8;34;0;0
350210105000080;8;34;0;0
350210105000081;8;67;0;0
350210105000082;8;21;0;0
350210105000083;8;29;0;0
350210105000084;5;45;0;0
350220005000001;1;71;0;0
350220005000002;1;116;0;0
350220005000003;1;90;0;0
350220005000004;1;91;0;0
350220005000005;1;101;0;0
350220005000006;1;117;0;0
350220005000007;1;256;0;0
350220005000008;1;36;0;0
350220005000010;1;113;0;0
350220005000011;1;163;0;0
350220005000012;1;110;0;0
350220005000013;1;189;0;0
350220005000014;1;190;0;0
350220005000015;8;45;0;0
350220005000016;8;169;0;0
