Resultados do Universo do Censo Demográfico 2010;;;;;;;;Resultados do Universo do Censo Demográfico 2010;;;;;;;;;;;;;;;
Tabela 4.20.1.2 - População residente, por grupos de idade, segundo as mesorregiões, as microrregiões, os municípios, os distritos e os bairros - São Paulo - 2010;;;;;;;;Tabela 4.20.1.2 - População residente, por grupos de idade, segundo as mesorregiões, as microrregiões, os municípios, os distritos e os bairros - São Paulo - 2010;;;;;;;;;;;;;;;
;;;;;;;(continua);;;;;;;;(conclusão);;;;;;;;
Mesorregiões, microrregiões, municípios, distritos e bairros;População residente;;;;;;;Mesorregiões, microrregiões, municípios, distritos e bairros;População residente;;;;;;;Código da Unidade Geográfica;;;;;;;
;Total;Grupos de idade;;;;;;;Grupos de idade;;;;;;;;;;;;;;
;;0 a 4 anos;5 a 9 anos;10 a 14 anos;15 a 17 anos;18 ou 19 anos;20 a 24 anos;;25 a 29 anos;30 a 34 anos;35 a 39 anos;40 a 49 anos;50 a 59 anos;60 a 69 anos;70 anos ou mais;;;;;;;;
Total; 41 262 199 ; 2 675 372 ; 2 860 633 ; 3 324 913 ; 1 990 247 ; 1 313 661 ; 3 637 688 ;Total; 3 789 789 ; 3 556 447 ; 3 184 121 ; 5 733 797 ; 4 424 095 ; 2 646 095 ; 2 125 341 ;35;;;;;;;
Paraibuna/Paraitinga;  70 392 ;  4 248 ;  5 090 ;  6 307 ;  3 854 ;  2 445 ;  5 383 ;Paraibuna/Paraitinga;  5 231 ;  5 094 ;  5 092 ;  9 852 ;  7 685 ;  5 598 ;  4 513 ;35053;;;;;;;
Piedade;  189 228 ;  13 154 ;  14 982 ;  18 017 ;  10 446 ;  6 378 ;  15 753 ;Piedade;  15 820 ;  14 870 ;  13 907 ;  24 869 ;  18 779 ;  12 909 ;  9 344 ;35045;;;;;;;
Piracicaba;  556 085 ;  34 915 ;  37 649 ;  43 609 ;  26 539 ;  18 013 ;  49 081 ;Piracicaba;  51 525 ;  47 021 ;  41 752 ;  76 453 ;  60 355 ;  37 631 ;  31 542 ;35028;;;;;;;
Pirassununga;  183 561 ;  12 005 ;  12 440 ;  14 290 ;  9 021 ;  5 984 ;  16 162 ;Pirassununga;  16 606 ;  14 823 ;  13 194 ;  25 407 ;  19 900 ;  12 772 ;  10 957 ;35029;;;;;;;
Presidente Prudente;  573 368 ;  34 853 ;  38 427 ;  45 449 ;  28 670 ;  18 617 ;  47 680 ;Presidente Prudente;  46 241 ;  45 162 ;  42 736 ;  84 419 ;  63 163 ;  41 970 ;  35 981 ;35036;;;;;;;
Registro;  243 592 ;  18 140 ;  20 920 ;  25 173 ;  14 064 ;  7 691 ;  17 861 ;Registro;  18 236 ;  18 843 ;  16 949 ;  30 631 ;  24 404 ;  16 996 ;  13 684 ;35055;;;;;;;
Ribeirão Preto; 1 032 547 ;  65 461 ;  69 202 ;  78 855 ;  49 751 ;  34 026 ;  96 937 ;Ribeirão Preto;  99 948 ;  89 556 ;  76 865 ;  140 266 ;  110 005 ;  66 300 ;  55 375 ;35014;;;;;;;
Rio Claro;  242 577 ;  14 644 ;  15 387 ;  18 300 ;  11 417 ;  7 982 ;  21 523 ;Rio Claro;  22 251 ;  20 836 ;  18 301 ;  33 587 ;  26 340 ;  16 736 ;  15 273 ;35026;;;;;;;
Santos; 1 471 013 ;  97 294 ;  103 630 ;  118 799 ;  69 986 ;  45 532 ;  120 606 ;Santos;  127 544 ;  122 000 ;  110 557 ;  202 305 ;  163 030 ;  102 399 ;  87 331 ;35063;;;;;;;
São Carlos;  308 777 ;  18 925 ;  19 893 ;  23 121 ;  14 429 ;  9 990 ;  27 324 ;São Carlos;  28 504 ;  26 162 ;  23 567 ;  43 319 ;  34 295 ;  20 719 ;  18 529 ;35025;;;;;;;
São João da Boa Vista;  409 370 ;  24 009 ;  26 544 ;  31 481 ;  20 217 ;  13 080 ;  34 285 ;São João da Boa Vista;  34 117 ;  31 686 ;  29 353 ;  57 972 ;  48 465 ;  30 725 ;  27 436 ;35030;;;;;;;
São Joaquim da Barra;  211 389 ;  13 951 ;  15 049 ;  16 776 ;  10 616 ;  6 753 ;  19 108 ;São Joaquim da Barra;  19 697 ;  17 666 ;  15 715 ;  29 114 ;  22 307 ;  14 015 ;  10 622 ;35010;;;;;;;
São José do Rio Preto;  763 534 ;  44 547 ;  46 062 ;  53 538 ;  33 701 ;  23 743 ;  66 237 ;São José do Rio Preto;  67 911 ;  64 605 ;  57 950 ;  111 000 ;  87 956 ;  56 961 ;  49 323 ;35004;;;;;;;
São José dos Campos; 1 415 146 ;  94 050 ;  99 105 ;  116 332 ;  69 515 ;  46 754 ;  124 110 ;São José dos Campos;  131 219 ;  123 794 ;  108 953 ;  197 713 ;  154 941 ;  87 694 ;  60 966 ;35050;;;;;;;
São Paulo; 13 804 831 ;  873 129 ;  928 744 ; 1 065 974 ;  624 328 ;  417 502 ; 1 220 103 ;São Paulo; 1 313 863 ; 1 233 878 ; 1 091 590 ; 1 924 292 ; 1 495 141 ;  884 344 ;  731 943 ;35061;;;;;;;
Sorocaba; 1 323 847 ;  86 369 ;  93 695 ;  111 262 ;  66 784 ;  44 318 ;  118 459 ;Sorocaba;  121 571 ;  113 643 ;  101 655 ;  184 847 ;  138 998 ;  80 241 ;  62 005 ;35046;;;;;;;
Tatuí;  257 318 ;  17 119 ;  18 323 ;  21 596 ;  12 708 ;  8 547 ;  22 987 ;Tatuí;  23 221 ;  21 816 ;  19 236 ;  34 210 ;  26 817 ;  17 250 ;  13 488 ;35043;;;;;;;
Tupã;  109 773 ;  6 518 ;  7 020 ;  8 097 ;  5 135 ;  3 326 ;  8 823 ;Tupã;  8 810 ;  8 395 ;  7 986 ;  15 710 ;  12 666 ;  8 897 ;  8 390 ;35037;;;;;;;
Votuporanga;  139 475 ;  7 649 ;  8 148 ;  9 789 ;  6 127 ;  4 310 ;  12 023 ;Votuporanga;  11 967 ;  11 229 ;  10 257 ;  20 288 ;  16 736 ;  11 566 ;  9 386 ;35003;;;;;;;
Municípios e Distritos;;;;;;;;Municípios e Distritos;;;;;;;;;;;;;;;
Adamantina;  33 797 ;  1 695 ;  1 906 ;  2 222 ;  1 563 ;  1 110 ;  2 760 ;Adamantina;  2 492 ;  2 391 ;  2 373 ;  5 096 ;  4 256 ;  2 985 ;  2 948 ;3500105;;;;;;;
Adamantina;  33 797 ;  1 695 ;  1 906 ;  2 222 ;  1 563 ;  1 110 ;  2 760 ;Adamantina;  2 492 ;  2 391 ;  2 373 ;  5 096 ;  4 256 ;  2 985 ;  2 948 ;350010505;;;;;;;
