Resultados do Universo do Censo Demográfico 2010;;;;;;;;Resultados do Universo do Censo Demográfico 2010;;;;;;;;;;;;;;;
Tabela 4.20.1.2 - População residente, por grupos de idade, segundo as mesorregiões, as microrregiões, os municípios, os distritos e os bairros - São Paulo - 2010;;;;;;;;Tabela 4.20.1.2 - População residente, por grupos de idade, segundo as mesorregiões, as microrregiões, os municípios, os distritos e os bairros - São Paulo - 2010;;;;;;;;;;;;;;;
;;;;;;;(continua);;;;;;;;(conclusão);;;;;;;;
Mesorregiões, microrregiões, municípios, distritos e bairros;População residente;;;;;;;Mesorregiões, microrregiões, municípios, distritos e bairros;População residente;;;;;;;Código da Unidade Geográfica;;;;;;;
;Total;Grupos de idade;;;;;;;Grupos de idade;;;;;;;;;;;;;;
;;0 a 4 anos;5 a 9 anos;10 a 14 anos;15 a 17 anos;18 ou 19 anos;20 a 24 anos;;25 a 29 anos;30 a 34 anos;35 a 39 anos;40 a 49 anos;50 a 59 anos;60 a 69 anos;70 anos ou mais;;;;;;;;
Total; 41 262 199 ; 2 675 372 ; 2 860 633 ; 3 324 913 ; 1 990 247 ; 1 313 661 ; 3 637 688 ;Total; 3 789 789 ; 3 556 447 ; 3 184 121 ; 5 733 797 ; 4 424 095 ; 2 646 095 ; 2 125 341 ;35;;;;;;;
Zona de Adensamento Restrito (ZAR);  1 964 ;   119 ;   155 ;   180 ;   119 ;   74 ;   173 ;Zona de Adensamento Restrito (ZAR);   165 ;   160 ;   176 ;   263 ;   206 ;   118 ;   56 ;3524402007;;;;;;;
Zona de Interesse Social;  1 219 ;   116 ;   126 ;   163 ;   101 ;   42 ;   115 ;Zona de Interesse Social;   78 ;   98 ;   113 ;   163 ;   49 ;   37 ;   18 ;3524402014;;;;;;;
Zona Especial de Centro (ZEC);  4 118 ;   141 ;   160 ;   207 ;   144 ;   105 ;   260 ;Zona Especial de Centro (ZEC);   288 ;   260 ;   236 ;   564 ;   579 ;   465 ;   709 ;3524402004;;;;;;;
Zona Especial de Várzea (ZEV);X ;X ;X ;X ;X ;X ;X ;Zona Especial de Várzea (ZEV);X ;X ;X ;X ;X ;X ;X ;3524402005;;;;;;;
Zona Preferencial 01 - ZAP 1;  88 844 ;  5 498 ;  5 822 ;  6 850 ;  4 068 ;  2 667 ;  7 214 ;Zona Preferencial 01 - ZAP 1;  7 634 ;  7 768 ;  7 054 ;  12 791 ;  10 320 ;  6 547 ;  4 611 ;3524402001;;;;;;;
Zona Preferencial 02 - ZAP 2 A;  50 859 ;  3 848 ;  4 019 ;  4 627 ;  2 614 ;  1 782 ;  4 390 ;Zona Preferencial 02 - ZAP 2 A;  4 660 ;  4 357 ;  4 063 ;  7 308 ;  5 241 ;  2 488 ;  1 462 ;3524402002;;;;;;;
Zona Preferencial 02 - ZAP 2 B;  30 109 ;  1 845 ;  1 938 ;  2 294 ;  1 381 ;   907 ;  2 425 ;Zona Preferencial 02 - ZAP 2 B;  2 634 ;  2 515 ;  2 378 ;  4 450 ;  3 603 ;  2 291 ;  1 448 ;3524402003;;;;;;;
Jundiaí;  370 126 ;  22 115 ;  22 870 ;  25 877 ;  15 739 ;  11 083 ;  31 138 ;Jundiaí;  34 082 ;  32 518 ;  28 850 ;  53 763 ;  42 704 ;  26 325 ;  23 062 ;3525904;;;;;;;
Aeroporto;   407 ;   18 ;   22 ;   28 ;   18 ;   20 ;   46 ;Aeroporto;   37 ;   27 ;   26 ;   69 ;   52 ;   33 ;   11 ;3525904029;;;;;;;
Agapeama;  8 591 ;   390 ;   419 ;   533 ;   332 ;   224 ;   696 ;Agapeama;   762 ;   654 ;   581 ;  1 217 ;  1 138 ;   858 ;   787 ;3525904003;;;;;;;
Anhangabaú;  7 553 ;   357 ;   420 ;   429 ;   286 ;   224 ;   542 ;Anhangabaú;   635 ;   596 ;   561 ;  1 118 ;   943 ;   664 ;   778 ;3525904009;;;;;;;
Casa Branca / Setor Industrial;   488 ;   30 ;   28 ;   28 ;   26 ;   18 ;   70 ;Casa Branca / Setor Industrial;   50 ;   51 ;   25 ;   62 ;   47 ;   31 ;   22 ;3525904023;;;;;;;
Caxumbu;  3 505 ;   148 ;   189 ;   234 ;   159 ;   92 ;   286 ;Caxumbu;   282 ;   255 ;   275 ;   545 ;   492 ;   292 ;   256 ;3525904041;;;;;;;
Cecap;  14 153 ;   877 ;   880 ;  1 065 ;   673 ;   469 ;  1 389 ;Cecap;  1 346 ;  1 179 ;   998 ;  2 254 ;  1 713 ;   805 ;   505 ;3525904037;;;;;;;
Centro;  9 865 ;   316 ;   354 ;   424 ;   254 ;   229 ;   666 ;Centro;   823 ;   689 ;   580 ;  1 364 ;  1 455 ;  1 024 ;  1 687 ;3525904001;;;;;;;
Cerâmica Ibetel;   683 ;   35 ;   33 ;   56 ;   42 ;   19 ;   61 ;Cerâmica Ibetel;   56 ;   51 ;   53 ;   113 ;   79 ;   45 ;   40 ;3525904040;;;;;;;
Colônia;  7 589 ;   411 ;   405 ;   478 ;   335 ;   220 ;   655 ;Colônia;   609 ;   638 ;   608 ;  1 199 ;   961 ;   615 ;   455 ;3525904017;;;;;;;
Décimo Segundo GAC (Grupo de Artilharia e Campanha);   140 ;   12 ;   14 ;   13 ;   6 ;   1 ;   6 ;Décimo Segundo GAC (Grupo de Artilharia e Campanha);   19 ;   21 ;   20 ;   22 ;   3 ;   3 ;- ;3525904005;;;;;;;
Distrito Industrial;   46 ;   4 ;   5 ;   5 ;   3 ;   1 ;   3 ;Distrito Industrial;- ;   7 ;   1 ;   8 ;   8 ;- ;   1 ;3525904034;;;;;;;
Engordadouro;  2 602 ;   248 ;   261 ;   253 ;   128 ;   97 ;   274 ;Engordadouro;   256 ;   223 ;   232 ;   369 ;   156 ;   65 ;   40 ;3525904035;;;;;;;
Ermida;   53 ;- ;   3 ;   4 ;   4 ;   2 ;   2 ;Ermida;   3 ;   1 ;   4 ;   4 ;   16 ;   5 ;   5 ;3525904031;;;;;;;
Gramadão;  6 778 ;   614 ;   700 ;   809 ;   374 ;   234 ;   637 ;Gramadão;   688 ;   645 ;   508 ;   758 ;   425 ;   228 ;   158 ;3525904033;;;;;;;
Horto Florestal;  4 294 ;   271 ;   322 ;   345 ;   218 ;   150 ;   417 ;Horto Florestal;   405 ;   306 ;   296 ;   598 ;   549 ;   257 ;   160 ;3525904025;;;;;;;
Hortolândia;  9 680 ;   510 ;   506 ;   598 ;   378 ;   303 ;   908 ;Hortolândia;   927 ;   769 ;   647 ;  1 388 ;  1 195 ;   809 ;   742 ;3525904024;;;;;;;
Jardim das Tulipas;  5 354 ;   327 ;   376 ;   445 ;   289 ;   210 ;   562 ;Jardim das Tulipas;   520 ;   432 ;   396 ;   877 ;   558 ;   205 ;   157 ;3525904032;;;;;;;
Jardim do Lago;  17 233 ;   980 ;   961 ;  1 126 ;   712 ;   505 ;  1 474 ;Jardim do Lago;  1 500 ;  1 441 ;  1 338 ;  2 516 ;  2 210 ;  1 422 ;  1 048 ;3525904004;;;;;;;
Jardim Nambi;  8 323 ;   612 ;   565 ;   607 ;   391 ;   300 ;   872 ;Jardim Nambi;   927 ;   725 ;   626 ;  1 077 ;   812 ;   487 ;   322 ;3525904019;;;;;;;
Jardim Pacaembu;  8 556 ;   362 ;   339 ;   431 ;   292 ;   202 ;   629 ;Jardim Pacaembu;   776 ;   707 ;   588 ;  1 217 ;  1 160 ;   967 ;   886 ;3525904020;;;;;;;
Jardim Samambaia;  3 411 ;   184 ;   194 ;   223 ;   128 ;   113 ;   241 ;Jardim Samambaia;   269 ;   247 ;   255 ;   657 ;   522 ;   227 ;   151 ;3525904043;;;;;;;
Jardim São Camilo;  11 664 ;   831 ;   866 ;   946 ;   564 ;   443 ;  1 099 ;Jardim São Camilo;  1 122 ;  1 016 ;   822 ;  1 430 ;  1 216 ;   692 ;   617 ;3525904016;;;;;;;
Jardim Tamoyo;  11 920 ;   845 ;   816 ;   977 ;   656 ;   389 ;  1 183 ;Jardim Tamoyo;  1 107 ;   995 ;   939 ;  1 641 ;  1 243 ;   712 ;   417 ;3525904018;;;;;;;
Jundiaí Mirim;  12 667 ;   905 ;   965 ;  1 075 ;   581 ;   380 ;  1 135 ;Jundiaí Mirim;  1 262 ;  1 123 ;   962 ;  1 705 ;  1 313 ;   733 ;   528 ;3525904015;;;;;;;
Malota;   909 ;   43 ;   47 ;   64 ;   37 ;   31 ;   58 ;Malota;   47 ;   42 ;   73 ;   177 ;   140 ;   76 ;   74 ;3525904021;;;;;;;
Marco Leite;   527 ;   34 ;   38 ;   45 ;   38 ;   22 ;   39 ;Marco Leite;   44 ;   48 ;   45 ;   76 ;   36 ;   24 ;   38 ;3525904026;;;;;;;
Medeiros;  5 249 ;   355 ;   330 ;   368 ;   196 ;   118 ;   437 ;Medeiros;   575 ;   582 ;   461 ;   756 ;   540 ;   263 ;   268 ;3525904044;;;;;;;
Moisés;   825 ;   50 ;   69 ;   71 ;   39 ;   36 ;   46 ;Moisés;   55 ;   60 ;   74 ;   169 ;   85 ;   48 ;   23 ;3525904027;;;;;;;
Nova Odessa;   634 ;   46 ;   47 ;   53 ;   13 ;   19 ;   55 ;Nova Odessa;   54 ;   47 ;   47 ;   94 ;   66 ;   53 ;   40 ;3525904042;;;;;;;
Parque Centenário;  3 099 ;   200 ;   208 ;   231 ;   160 ;   133 ;   318 ;Parque Centenário;   249 ;   227 ;   200 ;   536 ;   394 ;   133 ;   110 ;3525904038;;;;;;;
Parque do Colégio;  4 203 ;   149 ;   159 ;   211 ;   115 ;   100 ;   257 ;Parque do Colégio;   302 ;   331 ;   268 ;   615 ;   653 ;   512 ;   531 ;3525904011;;;;;;;
Parque Eloy Chaves;  11 507 ;   674 ;   658 ;   768 ;   451 ;   323 ;   850 ;Parque Eloy Chaves;  1 160 ;  1 088 ;  1 080 ;  1 854 ;  1 483 ;   702 ;   416 ;3525904030;;;;;;;
Pinheirinho/Represa;   182 ;   8 ;   8 ;   16 ;   12 ;   7 ;   16 ;Pinheirinho/Represa;   12 ;   7 ;   10 ;   33 ;   26 ;   8 ;   19 ;3525904039;;;;;;;
Ponte São João;  8 266 ;   342 ;   364 ;   443 ;   256 ;   219 ;   559 ;Ponte São João;   682 ;   617 ;   581 ;  1 176 ;  1 186 ;   869 ;   972 ;3525904014;;;;;;;
Retiro;  5 398 ;   257 ;   300 ;   330 ;   205 ;   157 ;   366 ;Retiro;   422 ;   446 ;   441 ;   956 ;   724 ;   411 ;   383 ;3525904010;;;;;;;
Setor Industrial;  3 621 ;   309 ;   309 ;   301 ;   165 ;   102 ;   225 ;Setor Industrial;   331 ;   494 ;   407 ;   540 ;   277 ;   89 ;   72 ;3525904045;;;;;;;
Torres de São José;  7 382 ;   411 ;   481 ;   539 ;   332 ;   217 ;   642 ;Torres de São José;   647 ;   615 ;   606 ;  1 186 ;   895 ;   530 ;   281 ;3525904036;;;;;;;
Vale Azul;  1 257 ;   65 ;   79 ;   91 ;   44 ;   41 ;   95 ;Vale Azul;   117 ;   76 ;   102 ;   240 ;   148 ;   85 ;   74 ;3525904028;;;;;;;
Vianelo/Bonfiglioli;  11 307 ;   367 ;   470 ;   524 ;   371 ;   267 ;   818 ;Vianelo/Bonfiglioli;   925 ;   824 ;   677 ;  1 650 ;  1 561 ;  1 317 ;  1 536 ;3525904008;;;;;;;
Vila Alvorada;  16 910 ;  1 005 ;  1 014 ;  1 165 ;   682 ;   518 ;  1 544 ;Vila Alvorada;  1 605 ;  1 553 ;  1 466 ;  2 629 ;  1 838 ;  1 069 ;   822 ;3525904022;;;;;;;
Vila Arens / Vila Progresso;  12 427 ;   489 ;   480 ;   566 ;   403 ;   304 ;   966 ;Vila Arens / Vila Progresso;  1 033 ;   897 ;   770 ;  1 795 ;  1 802 ;  1 299 ;  1 623 ;3525904002;;;;;;;
Vila Maringá;  14 339 ;   939 ;   879 ;  1 034 ;   642 ;   423 ;  1 204 ;Vila Maringá;  1 393 ;  1 331 ;  1 202 ;  2 125 ;  1 554 ;   905 ;   708 ;3525904006;;;;;;;
Vila Municipal;  2 587 ;   92 ;   104 ;   126 ;   96 ;   63 ;   191 ;Vila Municipal;   191 ;   158 ;   174 ;   395 ;   362 ;   287 ;   348 ;3525904012;;;;;;;
Vila Rami;  10 121 ;   367 ;   422 ;   526 ;   370 ;   225 ;   774 ;Vila Rami;   872 ;   801 ;   629 ;  1 487 ;  1 475 ;  1 045 ;  1 128 ;3525904007;;;;;;;
Vila Rio Branco;  8 064 ;   327 ;   320 ;   413 ;   242 ;   179 ;   569 ;Vila Rio Branco;   650 ;   573 ;   533 ;  1 082 ;  1 099 ;  1 037 ;  1 040 ;3525904013;;;;;;;
Mauá;  417 064 ;  28 868 ;  30 610 ;  36 494 ;  21 205 ;  14 261 ;  40 653 ;Mauá;  40 812 ;  37 171 ;  33 041 ;  58 426 ;  41 015 ;  21 111 ;  13 397 ;3529401;;;;;;;
RP1 (Regiões de Planejamento);  11 893 ;   551 ;   563 ;   677 ;   445 ;   341 ;  1 042 ;RP1 (Regiões de Planejamento);  1 072 ;   947 ;   855 ;  1 841 ;  1 545 ;  1 032 ;   982 ;3529401001;;;;;;;
RP10 (Regiões de Planejamento);  55 131 ;  3 834 ;  3 919 ;  4 623 ;  2 732 ;  1 826 ;  5 313 ;RP10 (Regiões de Planejamento);  5 571 ;  4 896 ;  4 349 ;  7 760 ;  5 708 ;  2 948 ;  1 652 ;3529401010;;;;;;;
RP11 (Regiões de Planejamento);  30 735 ;  2 494 ;  2 578 ;  2 977 ;  1 758 ;  1 111 ;  3 002 ;RP11 (Regiões de Planejamento);  3 035 ;  2 613 ;  2 444 ;  4 360 ;  2 685 ;  1 100 ;   578 ;3529401011;;;;;;;
RP12 (Regiões de Planejamento);  29 919 ;  2 136 ;  2 202 ;  2 630 ;  1 609 ;  1 005 ;  2 956 ;RP12 (Regiões de Planejamento);  2 870 ;  2 637 ;  2 318 ;  4 367 ;  2 911 ;  1 435 ;   843 ;3529401012;;;;;;;
RP13 (Regiões de Planejamento);  28 485 ;  2 025 ;  2 144 ;  2 634 ;  1 470 ;  1 035 ;  2 840 ;RP13 (Regiões de Planejamento);  2 870 ;  2 429 ;  2 245 ;  3 917 ;  2 773 ;  1 281 ;   822 ;3529401013;;;;;;;
RP14 (Regiões de Planejamento);  2 268 ;   160 ;   172 ;   249 ;   127 ;   77 ;   202 ;RP14 (Regiões de Planejamento);   177 ;   184 ;   147 ;   341 ;   246 ;   117 ;   69 ;3529401014;;;;;;;
RP2 (Regiões de Planejamento);  3 802 ;   173 ;   191 ;   296 ;   172 ;   236 ;   763 ;RP2 (Regiões de Planejamento);   551 ;   375 ;   270 ;   387 ;   236 ;   100 ;   52 ;3529401002;;;;;;;
RP3 (Regiões de Planejamento);  16 721 ;   932 ;  1 032 ;  1 144 ;   637 ;   435 ;  1 233 ;RP3 (Regiões de Planejamento);  1 552 ;  1 559 ;  1 600 ;  2 795 ;  1 851 ;  1 194 ;   757 ;3529401003;;;;;;;
RP4 (Regiões de Planejamento);  47 908 ;  2 794 ;  2 957 ;  3 524 ;  2 129 ;  1 570 ;  4 425 ;RP4 (Regiões de Planejamento);  4 595 ;  4 190 ;  3 629 ;  7 265 ;  5 716 ;  2 966 ;  2 148 ;3529401004;;;;;;;
RP5 (Regiões de Planejamento);  2 924 ;   151 ;   168 ;   231 ;   130 ;   114 ;   324 ;RP5 (Regiões de Planejamento);   336 ;   284 ;   253 ;   413 ;   276 ;   143 ;   101 ;3529401005;;;;;;;
RP6 (Regiões de Planejamento);  9 556 ;   631 ;   619 ;   746 ;   437 ;   274 ;   796 ;RP6 (Regiões de Planejamento);   849 ;   884 ;   745 ;  1 345 ;  1 065 ;   682 ;   483 ;3529401006;;;;;;;
RP7 (Regiões de Planejamento);  58 587 ;  4 674 ;  5 109 ;  6 036 ;  3 286 ;  2 145 ;  6 070 ;RP7 (Regiões de Planejamento);  5 646 ;  5 404 ;  4 683 ;  7 398 ;  4 770 ;  2 146 ;  1 220 ;3529401007;;;;;;;
RP8 (Regiões de Planejamento);  77 905 ;  5 745 ;  6 210 ;  7 405 ;  4 372 ;  2 785 ;  7 796 ;RP8 (Regiões de Planejamento);  7 682 ;  6 866 ;  6 065 ;  10 412 ;  7 171 ;  3 357 ;  2 039 ;3529401008;;;;;;;
RP9 (Regiões de Planejamento);  41 230 ;  2 568 ;  2 746 ;  3 322 ;  1 901 ;  1 307 ;  3 891 ;RP9 (Regiões de Planejamento);  4 006 ;  3 903 ;  3 438 ;  5 825 ;  4 062 ;  2 610 ;  1 651 ;3529401009;;;;;;;
Mirassol;  53 792 ;  3 110 ;  3 282 ;  3 817 ;  2 462 ;  1 659 ;  4 509 ;Mirassol;  4 449 ;  4 589 ;  4 264 ;  8 151 ;  6 191 ;  3 887 ;  3 422 ;3530300;;;;;;;
Aeroporto;   977 ;   61 ;   66 ;   73 ;   44 ;   34 ;   89 ;Aeroporto;   92 ;   83 ;   60 ;   143 ;   126 ;   59 ;   47 ;3530300004;;;;;;;
Centro;  4 749 ;   150 ;   166 ;   252 ;   181 ;   112 ;   353 ;Centro;   363 ;   280 ;   274 ;   663 ;   629 ;   536 ;   790 ;3530300013;;;;;;;
Colina;   187 ;   8 ;   14 ;   14 ;   7 ;   7 ;   9 ;Colina;   15 ;   14 ;   18 ;   25 ;   29 ;   16 ;   11 ;3530300012;;;;;;;
Fartura;   367 ;   9 ;   16 ;   20 ;   19 ;   18 ;   32 ;Fartura;   28 ;   22 ;   23 ;   60 ;   53 ;   42 ;   25 ;3530300008;;;;;;;
Grota;   79 ;- ;   2 ;   2 ;   1 ;   1 ;- ;Grota;   1 ;   1 ;   2 ;   10 ;   6 ;   24 ;   29 ;3530300007;;;;;;;
Moreira;  5 630 ;   360 ;   352 ;   391 ;   254 ;   189 ;   496 ;Moreira;   456 ;   472 ;   451 ;   796 ;   620 ;   413 ;   380 ;3530300001;;;;;;;
Nossa Senhora Aparecida;  8 700 ;   536 ;   539 ;   635 ;   401 ;   268 ;   790 ;Nossa Senhora Aparecida;   709 ;   699 ;   659 ;  1 342 ;  1 046 ;   594 ;   482 ;3530300006;;;;;;;
Portal;  2 885 ;   174 ;   143 ;   218 ;   135 ;   100 ;   228 ;Portal;   232 ;   242 ;   278 ;   482 ;   341 ;   189 ;   123 ;3530300010;;;;;;;
Santa Casa;  1 539 ;   54 ;   79 ;   95 ;   60 ;   50 ;   141 ;Santa Casa;   99 ;   114 ;   103 ;   230 ;   212 ;   154 ;   148 ;3530300002;;;;;;;
Santa Cruz;  1 390 ;   73 ;   62 ;   81 ;   71 ;   43 ;   130 ;Santa Cruz;   112 ;   113 ;   91 ;   196 ;   167 ;   144 ;   107 ;3530300005;;;;;;;
São José;  6 516 ;   312 ;   339 ;   430 ;   279 ;   188 ;   548 ;São José;   533 ;   484 ;   430 ;  1 012 ;   863 ;   542 ;   556 ;3530300009;;;;;;;
São Pedro;   929 ;   51 ;   54 ;   81 ;   44 ;   23 ;   76 ;São Pedro;   97 ;   92 ;   93 ;   146 ;   99 ;   48 ;   25 ;3530300011;;;;;;;
Souza;  3 546 ;   184 ;   211 ;   221 ;   157 ;   121 ;   309 ;Souza;   277 ;   269 ;   285 ;   564 ;   433 ;   300 ;   215 ;3530300003;;;;;;;
Mococa;  66 290 ;  3 936 ;  4 351 ;  5 038 ;  3 380 ;  2 127 ;  5 492 ;Mococa;  5 709 ;  5 183 ;  4 768 ;  9 160 ;  7 986 ;  5 064 ;  4 096 ;3530508;;;;;;;
Aparecida;   620 ;   23 ;   28 ;   39 ;   25 ;   12 ;   45 ;Aparecida;   41 ;   37 ;   43 ;   79 ;   90 ;   95 ;   63 ;3530508009;;;;;;;
Braz;   452 ;   12 ;   21 ;   28 ;   18 ;   11 ;   18 ;Braz;   35 ;   21 ;   18 ;   60 ;   64 ;   52 ;   94 ;3530508008;;;;;;;
Cecap;   774 ;   29 ;   27 ;   39 ;   26 ;   27 ;   56 ;Cecap;   66 ;   54 ;   42 ;   110 ;   125 ;   99 ;   74 ;3530508024;;;;;;;
Centro;  2 324 ;   90 ;   72 ;   130 ;   97 ;   65 ;   145 ;Centro;   188 ;   127 ;   136 ;   298 ;   331 ;   289 ;   356 ;3530508027;;;;;;;
Chácara Bela Vista;   67 ;   3 ;   5 ;   3 ;   1 ;- ;   2 ;Chácara Bela Vista;   7 ;   5 ;   4 ;   7 ;   15 ;   8 ;   7 ;3530508015;;;;;;;
Chácara São Domingos;  4 063 ;   181 ;   225 ;   280 ;   203 ;   125 ;   295 ;Chácara São Domingos;   338 ;   273 ;   276 ;   704 ;   540 ;   354 ;   269 ;3530508001;;;;;;;
Chácaras do Vale;   213 ;   6 ;   7 ;   11 ;   7 ;   2 ;   10 ;Chácaras do Vale;   5 ;   18 ;   10 ;   17 ;   32 ;   32 ;   56 ;3530508032;;;;;;;
Conjunto Habitacional Ary Estevão;   271 ;   24 ;   19 ;   19 ;   17 ;   9 ;   24 ;Conjunto Habitacional Ary Estevão;   23 ;   23 ;   14 ;   44 ;   31 ;   16 ;   8 ;3530508031;;;;;;;
Conjunto Habitacional Doutor Gabriel do O;  1 751 ;   80 ;   92 ;   93 ;   69 ;   40 ;   134 ;Conjunto Habitacional Doutor Gabriel do O;   158 ;   131 ;   136 ;   211 ;   283 ;   214 ;   110 ;3530508026;;;;;;;
Conjunto Habitacional Doutor Gilberto Rossetti;  6 168 ;   404 ;   408 ;   467 ;   321 ;   217 ;   590 ;Conjunto Habitacional Doutor Gilberto Rossetti;   584 ;   501 ;   431 ;   810 ;   778 ;   405 ;   252 ;3530508016;;;;;;;
Conjunto Habitacional Nene Pereira Lima;  2 001 ;   116 ;   160 ;   186 ;   131 ;   88 ;   185 ;Conjunto Habitacional Nene Pereira Lima;   165 ;   149 ;   145 ;   306 ;   220 ;   101 ;   49 ;3530508028;;;;;;;
Descanso;   653 ;   23 ;   35 ;   36 ;   33 ;   19 ;   64 ;Descanso;   52 ;   32 ;   47 ;   87 ;   94 ;   55 ;   76 ;3530508007;;;;;;;
Distrito Industrial I;   37 ;   2 ;   3 ;   5 ;   2 ;- ;   5 ;Distrito Industrial I;   2 ;   3 ;   7 ;   4 ;   3 ;   1 ;- ;3530508002;;;;;;;
Distrito Industrial II;   270 ;   4 ;   7 ;   1 ;- ;   9 ;   93 ;Distrito Industrial II;   60 ;   46 ;   22 ;   17 ;   9 ;   2 ;- ;3530508019;;;;;;;
Gatolândia;  1 621 ;   128 ;   140 ;   163 ;   97 ;   54 ;   138 ;Gatolândia;   156 ;   128 ;   122 ;   190 ;   161 ;   78 ;   66 ;3530508018;;;;;;;
Jardim Alvorada;  2 039 ;   122 ;   119 ;   149 ;   112 ;   83 ;   185 ;Jardim Alvorada;   171 ;   151 ;   134 ;   354 ;   259 ;   125 ;   75 ;3530508025;;;;;;;
Jardim Chico Piscina;   780 ;   39 ;   32 ;   57 ;   55 ;   29 ;   69 ;Jardim Chico Piscina;   61 ;   52 ;   64 ;   155 ;   93 ;   47 ;   27 ;3530508013;;;;;;;
Jardim Lavínia;   719 ;   40 ;   36 ;   46 ;   28 ;   8 ;   50 ;Jardim Lavínia;   44 ;   57 ;   63 ;   111 ;   100 ;   84 ;   52 ;3530508014;;;;;;;
Jardim Morro Azul;   840 ;   30 ;   38 ;   55 ;   30 ;   22 ;   78 ;Jardim Morro Azul;   71 ;   72 ;   47 ;   131 ;   125 ;   94 ;   47 ;3530508021;;;;;;;
Jardim Primavera;   699 ;   35 ;   52 ;   66 ;   49 ;   25 ;   73 ;Jardim Primavera;   65 ;   46 ;   54 ;   101 ;   80 ;   21 ;   32 ;3530508020;;;;;;;
Jardim Santa Clara;  1 053 ;   24 ;   29 ;   45 ;   51 ;   25 ;   78 ;Jardim Santa Clara;   98 ;   70 ;   72 ;   150 ;   173 ;   126 ;   112 ;3530508010;;;;;;;
Jardim Santa Maria;   621 ;   45 ;   54 ;   40 ;   23 ;   19 ;   46 ;Jardim Santa Maria;   46 ;   55 ;   60 ;   92 ;   84 ;   35 ;   22 ;3530508030;;;;;;;
Jardim São Francisco;   505 ;   32 ;   25 ;   33 ;   25 ;   17 ;   39 ;Jardim São Francisco;   41 ;   37 ;   27 ;   56 ;   72 ;   59 ;   42 ;3530508004;;;;;;;
Jardim São Luiz;   391 ;   19 ;   31 ;   33 ;   22 ;   14 ;   25 ;Jardim São Luiz;   14 ;   33 ;   40 ;   89 ;   32 ;   24 ;   15 ;3530508029;;;;;;;
Mocoquinha;  1 522 ;   64 ;   72 ;   98 ;   60 ;   41 ;   113 ;Mocoquinha;   128 ;   107 ;   107 ;   182 ;   198 ;   173 ;   179 ;3530508005;;;;;;;
Santa Cecília;   818 ;   22 ;   38 ;   45 ;   31 ;   30 ;   52 ;Santa Cecília;   64 ;   49 ;   37 ;   123 ;   116 ;   101 ;   110 ;3530508003;;;;;;;
Vila Carvalho;  2 066 ;   113 ;   140 ;   144 ;   91 ;   64 ;   163 ;Vila Carvalho;   183 ;   187 ;   122 ;   282 ;   254 ;   174 ;   149 ;3530508011;;;;;;;
Vila Lambari;  1 287 ;   60 ;   73 ;   74 ;   59 ;   40 ;   112 ;Vila Lambari;   99 ;   72 ;   90 ;   160 ;   172 ;   128 ;   148 ;3530508022;;;;;;;
Vila Mariana;  1 268 ;   37 ;   58 ;   75 ;   38 ;   23 ;   74 ;Vila Mariana;   91 ;   97 ;   68 ;   173 ;   181 ;   163 ;   190 ;3530508023;;;;;;;
Vila Naufel;   458 ;   16 ;   21 ;   28 ;   30 ;   11 ;   34 ;Vila Naufel;   42 ;   34 ;   27 ;   67 ;   80 ;   41 ;   27 ;3530508006;;;;;;;
Vila Quintino;   355 ;   10 ;   9 ;   17 ;   19 ;   8 ;   28 ;Vila Quintino;   33 ;   22 ;   20 ;   50 ;   70 ;   38 ;   31 ;3530508012;;;;;;;
Vila Santa Rosa;  7 457 ;   507 ;   550 ;   584 ;   422 ;   265 ;   635 ;Vila Santa Rosa;   615 ;   514 ;   546 ;   942 ;   839 ;   556 ;   482 ;3530508017;;;;;;;
Nova Odessa;  51 242 ;  3 149 ;  3 373 ;  3 986 ;  2 527 ;  1 635 ;  4 435 ;Nova Odessa;  4 761 ;  4 404 ;  4 119 ;  7 582 ;  5 699 ;  3 167 ;  2 405 ;3533403;;;;;;;
Região Administrativa 01;   610 ;   31 ;   32 ;   46 ;   19 ;   10 ;   37 ;Região Administrativa 01;   41 ;   47 ;   32 ;   96 ;   110 ;   60 ;   49 ;3533403001;;;;;;;
Região Administrativa 02;   185 ;   10 ;   14 ;   13 ;   9 ;   4 ;   8 ;Região Administrativa 02;   9 ;   8 ;   16 ;   18 ;   29 ;   17 ;   30 ;3533403002;;;;;;;
Região Administrativa 03;  1 870 ;   138 ;   141 ;   172 ;   98 ;   79 ;   181 ;Região Administrativa 03;   167 ;   157 ;   163 ;   309 ;   156 ;   61 ;   48 ;3533403003;;;;;;;
Região Administrativa 04;   127 ;   11 ;   11 ;   7 ;   6 ;   3 ;   7 ;Região Administrativa 04;   3 ;   19 ;   12 ;   18 ;   12 ;   12 ;   6 ;3533403004;;;;;;;
Região Administrativa 05;  2 509 ;   128 ;   158 ;   223 ;   132 ;   91 ;   236 ;Região Administrativa 05;   226 ;   187 ;   190 ;   422 ;   297 ;   133 ;   86 ;3533403005;;;;;;;
Região Administrativa 06;  6 547 ;   415 ;   501 ;   620 ;   371 ;   229 ;   555 ;Região Administrativa 06;   513 ;   594 ;   632 ;  1 081 ;   567 ;   287 ;   182 ;3533403006;;;;;;;
Região Administrativa 07;  2 249 ;   217 ;   206 ;   209 ;   113 ;   50 ;   167 ;Região Administrativa 07;   287 ;   270 ;   246 ;   253 ;   143 ;   62 ;   26 ;3533403007;;;;;;;
