Resultados do Universo do Censo Demográfico 2010;;;;;;;;;;;;;;;;;;
Tabela 4.20.1.1 - População residente, por situação do domicílio e sexo, segundo as mesorregiões, as microrregiões, os municípios, os distritos e os bairros - São Paulo - 2010;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Mesorregiões, microrregiões, municípios, distritos e bairros;População residente;;;;;;;;;Código da Unidade Geográfica;;;;;;;;
;Total                                                                           ;Homens                                                                          ;Mulheres                                                                        ;Situação do domicílio e sexo;;;;;;;;;;;;;;
;;;;Urbana                                                                          ;;;Rural                                                                         ;;;;;;;;;;;
;;;;Total;Homens                                                                          ;Mulheres                                                                        ;Total;Homens                                                                          ;Mulheres                                                                        ;;;;;;;;;
1;   364 ;   162 ;   202 ;   364 ;   162 ;   202 ;- ;- ;- ;3546306001;;;;;;;;
10;   730 ;   379 ;   351 ;   730 ;   379 ;   351 ;- ;- ;- ;3546306010;;;;;;;;
11;   769 ;   383 ;   386 ;   769 ;   383 ;   386 ;- ;- ;- ;3546306011;;;;;;;;
12;  1 753 ;   853 ;   900 ;  1 753 ;   853 ;   900 ;- ;- ;- ;3546306012;;;;;;;;
13;   881 ;   445 ;   436 ;   881 ;   445 ;   436 ;- ;- ;- ;3546306013;;;;;;;;
14;   842 ;   430 ;   412 ;   842 ;   430 ;   412 ;- ;- ;- ;3546306014;;;;;;;;
15;   554 ;   279 ;   275 ;   554 ;   279 ;   275 ;- ;- ;- ;3546306015;;;;;;;;
16;  1 021 ;   530 ;   491 ;  1 021 ;   530 ;   491 ;- ;- ;- ;3546306016;;;;;;;;
17;  1 409 ;   760 ;   649 ;  1 409 ;   760 ;   649 ;- ;- ;- ;3546306017;;;;;;;;
18;   709 ;   380 ;   329 ;   709 ;   380 ;   329 ;- ;- ;- ;3546306018;;;;;;;;
19;   878 ;   439 ;   439 ;   878 ;   439 ;   439 ;- ;- ;- ;3546306019;;;;;;;;
2;   507 ;   245 ;   262 ;   507 ;   245 ;   262 ;- ;- ;- ;3546306002;;;;;;;;
20;  1 626 ;   816 ;   810 ;  1 626 ;   816 ;   810 ;- ;- ;- ;3546306020;;;;;;;;
21;  2 341 ;  1 187 ;  1 154 ;  2 341 ;  1 187 ;  1 154 ;- ;- ;- ;3546306021;;;;;;;;
22;   905 ;   467 ;   438 ;   905 ;   467 ;   438 ;- ;- ;- ;3546306022;;;;;;;;
23;   429 ;   206 ;   223 ;   429 ;   206 ;   223 ;- ;- ;- ;3546306023;;;;;;;;
24;   670 ;   327 ;   343 ;   670 ;   327 ;   343 ;- ;- ;- ;3546306024;;;;;;;;
25;   949 ;   473 ;   476 ;   949 ;   473 ;   476 ;- ;- ;- ;3546306025;;;;;;;;
26;   763 ;   386 ;   377 ;   763 ;   386 ;   377 ;- ;- ;- ;3546306026;;;;;;;;
27;   727 ;   394 ;   333 ;   727 ;   394 ;   333 ;- ;- ;- ;3546306027;;;;;;;;
28;   728 ;   392 ;   336 ;   728 ;   392 ;   336 ;- ;- ;- ;3546306028;;;;;;;;
29;   665 ;   350 ;   315 ;   665 ;   350 ;   315 ;- ;- ;- ;3546306029;;;;;;;;
3;   835 ;   416 ;   419 ;   835 ;   416 ;   419 ;- ;- ;- ;3546306003;;;;;;;;
30;  1 142 ;   595 ;   547 ;  1 142 ;   595 ;   547 ;- ;- ;- ;3546306030;;;;;;;;
31;  1 077 ;   552 ;   525 ;  1 077 ;   552 ;   525 ;- ;- ;- ;3546306031;;;;;;;;
32;   139 ;   73 ;   66 ;   139 ;   73 ;   66 ;- ;- ;- ;3546306032;;;;;;;;
34;  1 375 ;   705 ;   670 ;  1 375 ;   705 ;   670 ;- ;- ;- ;3546306034;;;;;;;;
4;   553 ;   270 ;   283 ;   553 ;   270 ;   283 ;- ;- ;- ;3546306004;;;;;;;;
5;  1 100 ;   537 ;   563 ;  1 100 ;   537 ;   563 ;- ;- ;- ;3546306005;;;;;;;;
6;   477 ;   215 ;   262 ;   477 ;   215 ;   262 ;- ;- ;- ;3546306006;;;;;;;;
7;   480 ;   243 ;   237 ;   480 ;   243 ;   237 ;- ;- ;- ;3546306007;;;;;;;;
8;   842 ;   427 ;   415 ;   842 ;   427 ;   415 ;- ;- ;- ;3546306008;;;;;;;;
9;   760 ;   419 ;   341 ;   760 ;   419 ;   341 ;- ;- ;- ;3546306009;;;;;;;;
Santa Gertrudes;  21 634 ;  10 954 ;  10 680 ;  21 404 ;  10 829 ;  10 575 ;   230 ;   125 ;   105 ;3546702;;;;;;;;
Centro;  3 503 ;  1 678 ;  1 825 ;  3 503 ;  1 678 ;  1 825 ;- ;- ;- ;3546702010;;;;;;;;
Distrito Industrial I;   24 ;   13 ;   11 ;   24 ;   13 ;   11 ;- ;- ;- ;3546702008;;;;;;;;
Distrito Industrial II;   45 ;   23 ;   22 ;   45 ;   23 ;   22 ;- ;- ;- ;3546702009;;;;;;;;
Jardim Bom Sucesso;  4 041 ;  2 092 ;  1 949 ;  4 041 ;  2 092 ;  1 949 ;- ;- ;- ;3546702006;;;;;;;;
Jardim d'Itália;   45 ;   21 ;   24 ;   45 ;   21 ;   24 ;- ;- ;- ;3546702011;;;;;;;;
Jardim Luciana;  1 871 ;   905 ;   966 ;  1 871 ;   905 ;   966 ;- ;- ;- ;3546702007;;;;;;;;
Jardim Parque Industrial;  2 137 ;  1 071 ;  1 066 ;  2 137 ;  1 071 ;  1 066 ;- ;- ;- ;3546702003;;;;;;;;
Jardim Paulista;  1 880 ;   964 ;   916 ;  1 880 ;   964 ;   916 ;- ;- ;- ;3546702002;;;;;;;;
Jardim Residencial Indaiá;  2 646 ;  1 380 ;  1 266 ;  2 646 ;  1 380 ;  1 266 ;- ;- ;- ;3546702004;;;;;;;;
Jardim Residencial Iporanga;  1 018 ;   529 ;   489 ;  1 018 ;   529 ;   489 ;- ;- ;- ;3546702005;;;;;;;;
Parque dos Jequitibás;  3 519 ;  1 825 ;  1 694 ;  3 519 ;  1 825 ;  1 694 ;- ;- ;- ;3546702001;;;;;;;;
Santa Catarina;   675 ;   328 ;   347 ;   675 ;   328 ;   347 ;- ;- ;- ;3546702012;;;;;;;;
Santo André;  676 407 ;  324 458 ;  351 949 ;  676 407 ;  324 458 ;  351 949 ;- ;- ;- ;3547809;;;;;;;;
Acampamento Anchieta;   236 ;   134 ;   102 ;   236 ;   134 ;   102 ;- ;- ;- ;3547809098;;;;;;;;
Bairro Silveira;  2 810 ;  1 278 ;  1 532 ;  2 810 ;  1 278 ;  1 532 ;- ;- ;- ;3547809030;;;;;;;;
Bangú;  4 101 ;  1 903 ;  2 198 ;  4 101 ;  1 903 ;  2 198 ;- ;- ;- ;3547809016;;;;;;;;
Campestre;  14 249 ;  6 687 ;  7 562 ;  14 249 ;  6 687 ;  7 562 ;- ;- ;- ;3547809014;;;;;;;;
Campo Grande;   124 ;   56 ;   68 ;   124 ;   56 ;   68 ;- ;- ;- ;3547809106;;;;;;;;
Casa Branca;  2 282 ;  1 061 ;  1 221 ;  2 282 ;  1 061 ;  1 221 ;- ;- ;- ;3547809025;;;;;;;;
Cata Preta;  11 606 ;  5 853 ;  5 753 ;  11 606 ;  5 853 ;  5 753 ;- ;- ;- ;3547809071;;;;;;;;
Centro;  3 621 ;  1 544 ;  2 077 ;  3 621 ;  1 544 ;  2 077 ;- ;- ;- ;3547809024;;;;;;;;
Cidade São Jorge;  15 454 ;  7 574 ;  7 880 ;  15 454 ;  7 574 ;  7 880 ;- ;- ;- ;3547809045;;;;;;;;
Condomínio Maracanã;  10 029 ;  4 963 ;  5 066 ;  10 029 ;  4 963 ;  5 066 ;- ;- ;- ;3547809057;;;;;;;;
Estância Rio Grande;   144 ;   71 ;   73 ;   144 ;   71 ;   73 ;- ;- ;- ;3547809107;;;;;;;;
Fazenda dos Tecos;X ;X ;X ;X ;X ;X ;X ;X ;X ;3547809079;;;;;;;;
Jardim;  8 034 ;  3 845 ;  4 189 ;  8 034 ;  3 845 ;  4 189 ;- ;- ;- ;3547809018;;;;;;;;
Jardim Alvorada;  11 599 ;  5 431 ;  6 168 ;  11 599 ;  5 431 ;  6 168 ;- ;- ;- ;3547809063;;;;;;;;
Jardim Alzira Franco;  6 137 ;  2 976 ;  3 161 ;  6 137 ;  2 976 ;  3 161 ;- ;- ;- ;3547809095;;;;;;;;
Jardim Ana Maria;  4 886 ;  2 324 ;  2 562 ;  4 886 ;  2 324 ;  2 562 ;- ;- ;- ;3547809086;;;;;;;;
Jardim Bela Vista;  7 317 ;  3 337 ;  3 980 ;  7 317 ;  3 337 ;  3 980 ;- ;- ;- ;3547809034;;;;;;;;
Jardim Bom Pastor;  5 942 ;  2 810 ;  3 132 ;  5 942 ;  2 810 ;  3 132 ;- ;- ;- ;3547809050;;;;;;;;
Jardim Clube de Campo;   546 ;   277 ;   269 ;   546 ;   277 ;   269 ;- ;- ;- ;3547809081;;;;;;;;
Jardim Cristiane;  11 886 ;  5 666 ;  6 220 ;  11 886 ;  5 666 ;  6 220 ;- ;- ;- ;3547809052;;;;;;;;
Jardim das Maravilhas;  4 794 ;  2 283 ;  2 511 ;  4 794 ;  2 283 ;  2 511 ;- ;- ;- ;3547809005;;;;;;;;
Jardim do Estádio;  12 598 ;  6 029 ;  6 569 ;  12 598 ;  6 029 ;  6 569 ;- ;- ;- ;3547809062;;;;;;;;
Jardim Guaripocaba;   98 ;   46 ;   52 ;   98 ;   46 ;   52 ;- ;- ;- ;3547809099;;;;;;;;
Jardim Ipanema;  6 036 ;  2 911 ;  3 125 ;  6 036 ;  2 911 ;  3 125 ;- ;- ;- ;3547809055;;;;;;;;
Jardim Irene;  7 980 ;  3 835 ;  4 145 ;  7 980 ;  3 835 ;  4 145 ;- ;- ;- ;3547809069;;;;;;;;
Jardim Itapoam;  3 658 ;  1 834 ;  1 824 ;  3 658 ;  1 834 ;  1 824 ;- ;- ;- ;3547809088;;;;;;;;
Jardim João Ramalho;  7 471 ;  3 650 ;  3 821 ;  7 471 ;  3 650 ;  3 821 ;- ;- ;- ;3547809070;;;;;;;;
Jardim Joaquim Eugênio de Lima;   701 ;   333 ;   368 ;   701 ;   333 ;   368 ;- ;- ;- ;3547809108;;;;;;;;
Jardim Marek;  5 886 ;  2 891 ;  2 995 ;  5 886 ;  2 891 ;  2 995 ;- ;- ;- ;3547809044;;;;;;;;
Jardim Rina;  2 721 ;  1 359 ;  1 362 ;  2 721 ;  1 359 ;  1 362 ;- ;- ;- ;3547809094;;;;;;;;
Jardim Riviera;  3 993 ;  2 055 ;  1 938 ;  3 993 ;  2 055 ;  1 938 ;- ;- ;- ;3547809076;;;;;;;;
Jardim Santa Cristina;  15 819 ;  7 655 ;  8 164 ;  15 819 ;  7 655 ;  8 164 ;- ;- ;- ;3547809061;;;;;;;;
Jardim Santo Alberto;  6 429 ;  2 984 ;  3 445 ;  6 429 ;  2 984 ;  3 445 ;- ;- ;- ;3547809085;;;;;;;;
Jardim Santo André;  10 439 ;  5 055 ;  5 384 ;  10 439 ;  5 055 ;  5 384 ;- ;- ;- ;3547809067;;;;;;;;
Jardim Santo Antônio;  9 036 ;  4 279 ;  4 757 ;  9 036 ;  4 279 ;  4 757 ;- ;- ;- ;3547809007;;;;;;;;
Jardim Stella;  11 528 ;  5 491 ;  6 037 ;  11 528 ;  5 491 ;  6 037 ;- ;- ;- ;3547809051;;;;;;;;
Jardim Utinga;  4 578 ;  2 183 ;  2 395 ;  4 578 ;  2 183 ;  2 395 ;- ;- ;- ;3547809004;;;;;;;;
Jardins Las Vegas;  11 214 ;  5 600 ;  5 614 ;  11 214 ;  5 600 ;  5 614 ;- ;- ;- ;3547809064;;;;;;;;
Paraíso;  4 114 ;  1 984 ;  2 130 ;  4 114 ;  1 984 ;  2 130 ;- ;- ;- ;3547809040;;;;;;;;
Paranapiacaba;   921 ;   482 ;   439 ;   921 ;   482 ;   439 ;- ;- ;- ;3547809113;;;;;;;;
Parque América;   195 ;   99 ;   96 ;   195 ;   99 ;   96 ;- ;- ;- ;3547809103;;;;;;;;
Parque Capuava;  8 167 ;  3 991 ;  4 176 ;  8 167 ;  3 991 ;  4 176 ;- ;- ;- ;3547809089;;;;;;;;
Parque das Garças;   71 ;   40 ;   31 ;   71 ;   40 ;   31 ;- ;- ;- ;3547809100;;;;;;;;
Parque das Nações;  14 547 ;  6 744 ;  7 803 ;  14 547 ;  6 744 ;  7 803 ;- ;- ;- ;3547809010;;;;;;;;
Parque do Pedroso;  1 734 ;   850 ;   884 ;  1 734 ;   850 ;   884 ;- ;- ;- ;3547809072;;;;;;;;
Parque dos Pássaros;  22 828 ;  11 101 ;  11 727 ;  22 828 ;  11 101 ;  11 727 ;- ;- ;- ;3547809068;;;;;;;;
Parque Erasmo Assunção;  9 363 ;  4 508 ;  4 855 ;  9 363 ;  4 508 ;  4 855 ;- ;- ;- ;3547809090;;;;;;;;
Parque Gerassi Centreville;  8 066 ;  3 841 ;  4 225 ;  8 066 ;  3 841 ;  4 225 ;- ;- ;- ;3547809046;;;;;;;;
Parque Jaçatuba;  4 245 ;  2 073 ;  2 172 ;  4 245 ;  2 073 ;  2 172 ;- ;- ;- ;3547809092;;;;;;;;
Parque João Ramalho;  15 032 ;  7 197 ;  7 835 ;  15 032 ;  7 197 ;  7 835 ;- ;- ;- ;3547809093;;;;;;;;
Parque Marajoara;  8 107 ;  3 933 ;  4 174 ;  8 107 ;  3 933 ;  4 174 ;- ;- ;- ;3547809027;;;;;;;;
Parque Miami;  5 874 ;  2 898 ;  2 976 ;  5 874 ;  2 898 ;  2 976 ;- ;- ;- ;3547809075;;;;;;;;
Parque Novo Oratório;  16 506 ;  7 978 ;  8 528 ;  16 506 ;  7 978 ;  8 528 ;- ;- ;- ;3547809084;;;;;;;;
Parque Oratório;  11 564 ;  5 577 ;  5 987 ;  11 564 ;  5 577 ;  5 987 ;- ;- ;- ;3547809009;;;;;;;;
Parque Represa Billings II;   660 ;   343 ;   317 ;   660 ;   343 ;   317 ;- ;- ;- ;3547809080;;;;;;;;
Parque Represa Billings III;  1 600 ;   776 ;   824 ;  1 600 ;   776 ;   824 ;- ;- ;- ;3547809083;;;;;;;;
Parque Rio Grande;   505 ;   261 ;   244 ;   505 ;   261 ;   244 ;- ;- ;- ;3547809101;;;;;;;;
Recreio da Borda do Campo;  10 728 ;  5 383 ;  5 345 ;  10 728 ;  5 383 ;  5 345 ;- ;- ;- ;3547809073;;;;;;;;
Reserva Biológica Alto da Serra;X ;X ;X ;X ;X ;X ;X ;X ;X ;3547809111;;;;;;;;
Santa Maria;  4 636 ;  2 147 ;  2 489 ;  4 636 ;  2 147 ;  2 489 ;- ;- ;- ;3547809019;;;;;;;;
Santa Terezinha;  5 987 ;  2 742 ;  3 245 ;  5 987 ;  2 742 ;  3 245 ;- ;- ;- ;3547809011;;;;;;;;
Sítio dos Vianas;  11 484 ;  5 572 ;  5 912 ;  11 484 ;  5 572 ;  5 912 ;- ;- ;- ;3547809065;;;;;;;;
Sítio Taquaral;   111 ;   60 ;   51 ;   111 ;   60 ;   51 ;- ;- ;- ;3547809082;;;;;;;;
Tamanduateí 1;  1 036 ;   497 ;   539 ;  1 036 ;   497 ;   539 ;- ;- ;- ;3547809013;;;;;;;;
Tamanduateí 2;  3 830 ;  1 909 ;  1 921 ;  3 830 ;  1 909 ;  1 921 ;- ;- ;- ;3547809001;;;;;;;;
Tamanduateí 3;   851 ;   432 ;   419 ;   851 ;   432 ;   419 ;- ;- ;- ;3547809015;;;;;;;;
Tamanduateí 4;  2 692 ;  1 324 ;  1 368 ;  2 692 ;  1 324 ;  1 368 ;- ;- ;- ;3547809012;;;;;;;;
Tamanduateí 5;X ;X ;X ;X ;X ;X ;X ;X ;X ;3547809017;;;;;;;;
Tamanduateí 7;  1 740 ;   863 ;   877 ;  1 740 ;   863 ;   877 ;- ;- ;- ;3547809026;;;;;;;;
Tamanduateí 8;  10 144 ;  5 150 ;  4 994 ;  10 144 ;  5 150 ;  4 994 ;- ;- ;- ;3547809096;;;;;;;;
Várzea do Rio Grande;   99 ;   56 ;   43 ;   99 ;   56 ;   43 ;- ;- ;- ;3547809110;;;;;;;;
Vila Alice;  2 475 ;  1 173 ;  1 302 ;  2 475 ;  1 173 ;  1 302 ;- ;- ;- ;3547809035;;;;;;;;
Vila Alpina;  1 590 ;   731 ;   859 ;  1 590 ;   731 ;   859 ;- ;- ;- ;3547809022;;;;;;;;
Vila Alzira;  7 456 ;  3 441 ;  4 015 ;  7 456 ;  3 441 ;  4 015 ;- ;- ;- ;3547809031;;;;;;;;
Vila América;  4 335 ;  2 012 ;  2 323 ;  4 335 ;  2 012 ;  2 323 ;- ;- ;- ;3547809029;;;;;;;;
Vila Assunção;  14 182 ;  6 464 ;  7 718 ;  14 182 ;  6 464 ;  7 718 ;- ;- ;- ;3547809032;;;;;;;;
Vila Bastos;  5 655 ;  2 599 ;  3 056 ;  5 655 ;  2 599 ;  3 056 ;- ;- ;- ;3547809033;;;;;;;;
Vila Camilópolis;  16 733 ;  7 841 ;  8 892 ;  16 733 ;  7 841 ;  8 892 ;- ;- ;- ;3547809003;;;;;;;;
Vila Curuçá;  11 047 ;  5 232 ;  5 815 ;  11 047 ;  5 232 ;  5 815 ;- ;- ;- ;3547809091;;;;;;;;
Vila Floresta;  6 856 ;  3 291 ;  3 565 ;  6 856 ;  3 291 ;  3 565 ;- ;- ;- ;3547809038;;;;;;;;
Vila Francisco Matarazzo;  4 433 ;  2 064 ;  2 369 ;  4 433 ;  2 064 ;  2 369 ;- ;- ;- ;3547809008;;;;;;;;
Vila Gilda;  5 964 ;  2 825 ;  3 139 ;  5 964 ;  2 825 ;  3 139 ;- ;- ;- ;3547809039;;;;;;;;
Vila Guaraciaba;  3 763 ;  1 834 ;  1 929 ;  3 763 ;  1 834 ;  1 929 ;- ;- ;- ;3547809056;;;;;;;;
Vila Guarani;  3 952 ;  1 893 ;  2 059 ;  3 952 ;  1 893 ;  2 059 ;- ;- ;- ;3547809043;;;;;;;;
Vila Guiomar;  6 406 ;  2 947 ;  3 459 ;  6 406 ;  2 947 ;  3 459 ;- ;- ;- ;3547809023;;;;;;;;
Vila Helena;  11 915 ;  5 584 ;  6 331 ;  11 915 ;  5 584 ;  6 331 ;- ;- ;- ;3547809048;;;;;;;;
Vila Homero Thon;  5 200 ;  2 455 ;  2 745 ;  5 200 ;  2 455 ;  2 745 ;- ;- ;- ;3547809028;;;;;;;;
Vila Humaitá;  4 568 ;  2 168 ;  2 400 ;  4 568 ;  2 168 ;  2 400 ;- ;- ;- ;3547809042;;;;;;;;
Vila Junqueira;  4 117 ;  1 902 ;  2 215 ;  4 117 ;  1 902 ;  2 215 ;- ;- ;- ;3547809054;;;;;;;;
Vila Linda;  9 286 ;  4 397 ;  4 889 ;  9 286 ;  4 397 ;  4 889 ;- ;- ;- ;3547809053;;;;;;;;
Vila Lucinda;  6 125 ;  2 906 ;  3 219 ;  6 125 ;  2 906 ;  3 219 ;- ;- ;- ;3547809006;;;;;;;;
Vila Lutécia;  3 714 ;  1 769 ;  1 945 ;  3 714 ;  1 769 ;  1 945 ;- ;- ;- ;3547809060;;;;;;;;
Vila Luzita;  11 387 ;  5 448 ;  5 939 ;  11 387 ;  5 448 ;  5 939 ;- ;- ;- ;3547809066;;;;;;;;
Vila Metalúrgica;  10 964 ;  5 244 ;  5 720 ;  10 964 ;  5 244 ;  5 720 ;- ;- ;- ;3547809002;;;;;;;;
Vila Palmares;  14 641 ;  7 053 ;  7 588 ;  14 641 ;  7 053 ;  7 588 ;- ;- ;- ;3547809020;;;;;;;;
Vila Pires;  9 879 ;  4 714 ;  5 165 ;  9 879 ;  4 714 ;  5 165 ;- ;- ;- ;3547809041;;;;;;;;
Vila Príncipe de Gales;  10 220 ;  5 033 ;  5 187 ;  10 220 ;  5 033 ;  5 187 ;- ;- ;- ;3547809036;;;;;;;;
Vila Progresso;  5 190 ;  2 518 ;  2 672 ;  5 190 ;  2 518 ;  2 672 ;- ;- ;- ;3547809047;;;;;;;;
Vila Sacadura Cabral;  11 374 ;  5 720 ;  5 654 ;  11 374 ;  5 720 ;  5 654 ;- ;- ;- ;3547809021;;;;;;;;
Vila Scarpelli;  6 220 ;  2 905 ;  3 315 ;  6 220 ;  2 905 ;  3 315 ;- ;- ;- ;3547809049;;;;;;;;
Vila Suíça;  10 548 ;  5 113 ;  5 435 ;  10 548 ;  5 113 ;  5 435 ;- ;- ;- ;3547809059;;;;;;;;
Vila Tibiriçá;  2 517 ;  1 237 ;  1 280 ;  2 517 ;  1 237 ;  1 280 ;- ;- ;- ;3547809058;;;;;;;;
Vila Valparaíso;  9 131 ;  4 302 ;  4 829 ;  9 131 ;  4 302 ;  4 829 ;- ;- ;- ;3547809037;;;;;;;;
Santos;  419 400 ;  191 912 ;  227 488 ;  419 086 ;  191 754 ;  227 332 ;   314 ;   158 ;   156 ;3548500;;;;;;;;
Alemoa;  1 029 ;   545 ;   484 ;  1 029 ;   545 ;   484 ;- ;- ;- ;3548500021;;;;;;;;
Aparecida;  36 440 ;  16 134 ;  20 306 ;  36 440 ;  16 134 ;  20 306 ;- ;- ;- ;3548500005;;;;;;;;
Areia Branca;  6 494 ;  3 064 ;  3 430 ;  6 494 ;  3 064 ;  3 430 ;- ;- ;- ;3548500028;;;;;;;;
Bom Retiro;  9 212 ;  4 361 ;  4 851 ;  9 212 ;  4 361 ;  4 851 ;- ;- ;- ;3548500026;;;;;;;;
Boqueirão;  30 869 ;  13 276 ;  17 593 ;  30 869 ;  13 276 ;  17 593 ;- ;- ;- ;3548500003;;;;;;;;
Cabuçu;   24 ;   15 ;   9 ;   24 ;   15 ;   9 ;- ;- ;- ;3548500059;;;;;;;;
Campo Grande;  27 787 ;  12 402 ;  15 385 ;  27 787 ;  12 402 ;  15 385 ;- ;- ;- ;3548500010;;;;;;;;
Caneleira;  2 969 ;  1 390 ;  1 579 ;  2 969 ;  1 390 ;  1 579 ;- ;- ;- ;3548500024;;;;;;;;
Caruara;  1 126 ;   556 ;   570 ;  1 126 ;   556 ;   570 ;- ;- ;- ;3548500061;;;;;;;;
Castelo;  11 260 ;  5 144 ;  6 116 ;  11 260 ;  5 144 ;  6 116 ;- ;- ;- ;3548500029;;;;;;;;
Centro;  1 008 ;   532 ;   476 ;  1 008 ;   532 ;   476 ;- ;- ;- ;3548500017;;;;;;;;
Chico de Paula;  3 065 ;  1 519 ;  1 546 ;  3 065 ;  1 519 ;  1 546 ;- ;- ;- ;3548500022;;;;;;;;
Embaré;  37 807 ;  16 866 ;  20 941 ;  37 807 ;  16 866 ;  20 941 ;- ;- ;- ;3548500004;;;;;;;;
Encruzilhada;  15 588 ;  7 028 ;  8 560 ;  15 588 ;  7 028 ;  8 560 ;- ;- ;- ;3548500009;;;;;;;;
Estuário;  6 127 ;  2 848 ;  3 279 ;  6 127 ;  2 848 ;  3 279 ;- ;- ;- ;3548500007;;;;;;;;
Gonzaga;  24 788 ;  10 757 ;  14 031 ;  24 788 ;  10 757 ;  14 031 ;- ;- ;- ;3548500002;;;;;;;;
Guarapá;   57 ;   36 ;   21 ;   57 ;   36 ;   21 ;- ;- ;- ;3548500056;;;;;;;;
Iriri;   53 ;   29 ;   24 ;   53 ;   29 ;   24 ;- ;- ;- ;3548500060;;;;;;;;
Jabaquara;  2 634 ;  1 220 ;  1 414 ;  2 634 ;  1 220 ;  1 414 ;- ;- ;- ;3548500012;;;;;;;;
José Menino;  8 652 ;  3 861 ;  4 791 ;  8 652 ;  3 861 ;  4 791 ;- ;- ;- ;3548500001;;;;;;;;
Macuco;  19 870 ;  9 365 ;  10 505 ;  19 870 ;  9 365 ;  10 505 ;- ;- ;- ;3548500008;;;;;;;;
Marapé;  20 992 ;  9 647 ;  11 345 ;  20 992 ;  9 647 ;  11 345 ;- ;- ;- ;3548500011;;;;;;;;
Monte Cabrão;   570 ;   277 ;   293 ;   570 ;   277 ;   293 ;- ;- ;- ;3548500057;;;;;;;;
Monte Serrat;  1 375 ;   654 ;   721 ;  1 375 ;   654 ;   721 ;- ;- ;- ;3548500019;;;;;;;;
Morro Cachoeira;   29 ;   14 ;   15 ;   29 ;   14 ;   15 ;- ;- ;- ;3548500054;;;;;;;;
Morro Caneleira;  1 118 ;   539 ;   579 ;  1 118 ;   539 ;   579 ;- ;- ;- ;3548500045;;;;;;;;
Morro Chico de Paula;X ;X ;X ;X ;X ;X ;X ;X ;X ;3548500047;;;;;;;;
Morro Fontana;   799 ;   380 ;   419 ;   799 ;   380 ;   419 ;- ;- ;- ;3548500035;;;;;;;;
Morro Jabaquara;  1 528 ;   777 ;   751 ;  1 528 ;   777 ;   751 ;- ;- ;- ;3548500039;;;;;;;;
Morro José Menino;  3 227 ;  1 518 ;  1 709 ;  3 227 ;  1 518 ;  1 709 ;- ;- ;- ;3548500052;;;;;;;;
Morro Marapé;  1 030 ;   490 ;   540 ;  1 030 ;   490 ;   540 ;- ;- ;- ;3548500043;;;;;;;;
Morro Nova Cintra;  5 270 ;  2 556 ;  2 714 ;  5 270 ;  2 556 ;  2 714 ;- ;- ;- ;3548500044;;;;;;;;
Morro Pacheco;  1 810 ;   919 ;   891 ;  1 810 ;   919 ;   891 ;- ;- ;- ;3548500037;;;;;;;;
Morro Penha;  2 061 ;  1 017 ;  1 044 ;  2 061 ;  1 017 ;  1 044 ;- ;- ;- ;3548500042;;;;;;;;
Morro Saboó;   940 ;   471 ;   469 ;   940 ;   471 ;   469 ;- ;- ;- ;3548500041;;;;;;;;
Morro Santa Maria;  3 090 ;  1 493 ;  1 597 ;  3 090 ;  1 493 ;  1 597 ;- ;- ;- ;3548500046;;;;;;;;
Morro Santa Terezinha;   260 ;   130 ;   130 ;   260 ;   130 ;   130 ;- ;- ;- ;3548500051;;;;;;;;
Morro São Bento;  7 200 ;  3 430 ;  3 770 ;  7 200 ;  3 430 ;  3 770 ;- ;- ;- ;3548500036;;;;;;;;
Nossa Senhora das Neves;X ;X ;X ;X ;X ;X ;X ;X ;X ;3548500063;;;;;;;;
Paquetá;  1 008 ;   492 ;   516 ;  1 008 ;   492 ;   516 ;- ;- ;- ;3548500016;;;;;;;;
Piratininga;   962 ;   450 ;   512 ;   962 ;   450 ;   512 ;- ;- ;- ;3548500034;;;;;;;;
Pompéia;  11 333 ;  4 968 ;  6 365 ;  11 333 ;  4 968 ;  6 365 ;- ;- ;- ;3548500050;;;;;;;;
Ponta da Praia;  31 573 ;  14 364 ;  17 209 ;  31 573 ;  14 364 ;  17 209 ;- ;- ;- ;3548500006;;;;;;;;
Quilombo;  1 006 ;   519 ;   487 ;  1 006 ;   519 ;   487 ;- ;- ;- ;3548500062;;;;;;;;
Rádio Clube;  19 179 ;  9 172 ;  10 007 ;  19 179 ;  9 172 ;  10 007 ;- ;- ;- ;3548500030;;;;;;;;
Saboó;  10 578 ;  5 001 ;  5 577 ;  10 578 ;  5 001 ;  5 577 ;- ;- ;- ;3548500020;;;;;;;;
Santa Maria;  6 615 ;  3 104 ;  3 511 ;  6 615 ;  3 104 ;  3 511 ;- ;- ;- ;3548500025;;;;;;;;
São Jorge;  6 974 ;  3 199 ;  3 775 ;  6 974 ;  3 199 ;  3 775 ;- ;- ;- ;3548500027;;;;;;;;
São Manoel;  4 553 ;  2 267 ;  2 286 ;  4 553 ;  2 267 ;  2 286 ;- ;- ;- ;3548500023;;;;;;;;
Trindade;   7 ;   7 ;- ;   7 ;   7 ;- ;- ;- ;- ;3548500058;;;;;;;;
Valongo;   251 ;   129 ;   122 ;   251 ;   129 ;   122 ;- ;- ;- ;3548500018;;;;;;;;
Vila Belmiro;  8 652 ;  3 977 ;  4 675 ;  8 652 ;  3 977 ;  4 675 ;- ;- ;- ;3548500013;;;;;;;;
